outcome,pred_fog,G1,G2,G3,G4,G5
correct-reject,0.00012192356,-0.00961863327685577,-0.009620034792522285,-0.009820348471893758,-0.009606344413596547,-0.009606223673270553
correct-reject,3.9657563e-05,-0.009654843749969024,-0.009630922639552309,-0.009780184750656942,-0.00963034893872843,-0.009657508549232207
correct-reject,7.736462e-05,-0.008221038582403174,-0.010035590852367094,-0.010039313145856283,-0.009977978936186516,-0.010042187111325847
correct-reject,0.0011610138,-0.009440085879070347,-0.009453154252391002,-0.009457117307216734,-0.009440411163759984,-0.009441726025700847
correct-reject,7.371433e-05,-0.009656572122489646,-0.009671386902424832,-0.009671245841679523,-0.009656874540293894,-0.009663729221251013
correct-reject,6.564148e-05,0.019413446762055652,-0.016904355326868098,-0.016954171907491357,-0.016956453870601247,-0.016926374285233862
correct-reject,1.24535145e-05,-0.009504482057549671,-0.010158007405676172,-0.009521766537485273,-0.009517488138279288,-0.009679264489148515
correct-reject,0.00017838129,-0.009628403310683084,-0.009711412716937104,-0.009618083199130718,-0.009627709293310685,-0.009629519108077321
correct-reject,7.113361e-05,-0.009509104795723434,-0.009892196647759019,-0.009519116529390016,-0.009517039228004268,-0.009884951427262182
correct-reject,0.00026689208,-0.00949000620761197,-0.009459493479539846,-0.010158256656841105,-0.009448731512294192,-0.009570128771851805
correct-reject,3.778465e-06,-0.009678166387316393,-0.009674936213008727,-0.00968106956341386,-0.00967374372313374,-0.009681812741266187
correct-reject,5.9186408e-05,-0.009658408691205175,-0.009662619738710024,-0.009693099238415848,-0.009660064395727763,-0.0096601165640801
correct-reject,1.0833148e-05,-0.008893677859336563,-0.01019686599413824,-0.010445564784564897,-0.009423319744854646,-0.009423280245244565
correct-reject,1.2095994e-05,-0.009655879723458194,-0.009651767602201619,-0.009760871872917645,-0.009643460175756687,-0.009669429253804773
correct-reject,5.4813782e-08,-0.009683058854063538,-0.009689686641672485,-0.009681734051873692,-0.009668876358182654,-0.009670097922346544
correct-reject,3.5631706e-07,-0.00967145384889053,-0.009683638490747248,-0.009682179551442021,-0.009676927600439814,-0.009678953136619291
correct-reject,1.0285448e-07,-0.009610993167068625,-0.009614656047699148,-0.00995369433460532,-0.009610086482750566,-0.009603975596015252
correct-reject,3.5426478e-06,-0.009641451163511321,-0.00969011486719915,-0.009682652840812702,-0.009685844379981138,-0.0096899053766346
correct-reject,1.9035715e-08,-0.009675925667099834,-0.009679083718935808,-0.009679541251631243,-0.009679671065939097,-0.009679267924532938
correct-reject,4.7745148e-06,-0.00966404064825173,-0.00969162989058441,-0.009670424248538928,-0.009673103795242704,-0.009689540045521144
correct-reject,2.674807e-07,-0.009678064029744046,-0.009679050159431827,-0.009678723945064242,-0.009678644119469143,-0.00967875937442966
correct-reject,4.860831e-05,-0.00966410779213332,-0.009668550941404237,-0.009677415126693824,-0.009666652970167748,-0.009668181797739789
correct-reject,9.967578e-06,-0.009608864180983641,-0.009795379749973458,-0.009650820725282611,-0.009637660551098477,-0.009690813420800732
correct-reject,0.0003422618,-0.009531194488659415,-0.009630258324010288,-0.009639249693087756,-0.00962033810150684,-0.00963020602087462
correct-reject,6.422577e-06,-0.009675887869686883,-0.009676810503656553,-0.00967778397032961,-0.009677800924545637,-0.009678805359920224
correct-reject,3.0148487e-05,-0.009282431177081744,-0.00932447643805325,-0.01034311117076037,-0.009336922333421855,-0.0100764675088217
correct-reject,7.734893e-06,-0.009654599036128758,-0.009685032550986915,-0.00967609223590324,-0.009673692276278333,-0.009696362528841667
correct-reject,8.41177e-06,-0.01006211971497776,-0.010051337441595405,-0.010058084828569066,-0.008151341307716508,-0.010062215335280178
correct-reject,4.5131438e-07,-0.009646995523337686,-0.009685131307944643,-0.00969351467693019,-0.009683359791260823,-0.00968405632866558
correct-reject,5.2007883e-05,-0.009682778704503752,-0.009665743228844618,-0.00967501288290968,-0.009658096280105893,-0.009659877531774967
correct-reject,4.1473895e-06,-0.00966515330883568,-0.00967980205144574,-0.009683757119895494,-0.009681032580276623,-0.00967961356768538
correct-reject,2.5154e-05,-0.009566829033798917,-0.009569569525742767,-0.010100825893418748,-0.009561730631562376,-0.009569353543616103
correct-reject,9.9689e-07,-0.009684596500665409,-0.009685521439774516,-0.00969977671172191,-0.00961077284246006,-0.009711844133517023
correct-reject,0.00013517594,-0.009635732960812706,-0.00966560953128054,-0.009663992187798611,-0.009638164624428642,-0.009654833323818413
