,Feature,POD_mean,F_mean,FAR_mean,CSI_mean,PSS_mean,HSS_mean,ORSS_mean,CSS_mean
201,Q_700mb,0.373134328,0.011105969,0.489795918,0.274725275,0.362028359,0.416202825,0.962963643,0.490929185
202,Q_700mb,0.373134328,0.012031467,0.509803922,0.268817204,0.361102861,0.408349279,0.959902326,0.470903474
203,Q_700mb,0.373134328,0.012031467,0.509803922,0.268817204,0.361102861,0.408349279,0.959902326,0.470903474
204,TMP_2maboveground,0.373134328,0.012031467,0.509803922,0.268817204,0.361102861,0.408349279,0.959902326,0.470903474
205,TMP_2maboveground,0.373134328,0.012031467,0.509803922,0.268817204,0.361102861,0.408349279,0.959902326,0.470903474
206,TMP_2maboveground,0.373134328,0.011105969,0.489795918,0.274725275,0.362028359,0.416202825,0.962963643,0.490929185
207,TMP_2maboveground,0.373134328,0.011105969,0.489795918,0.274725275,0.362028359,0.416202825,0.962963643,0.490929185
208,TMP_975mb,0.373134328,0.011105969,0.489795918,0.274725275,0.362028359,0.416202825,0.962963643,0.490929185
209,TMP_975mb,0.373134328,0.011105969,0.489795918,0.274725275,0.362028359,0.416202825,0.962963643,0.490929185
210,TMP_975mb,0.373134328,0.010180472,0.468085106,0.280898876,0.362953856,0.424321946,0.966028787,0.512657672
211,TMP_975mb,0.373134328,0.011105969,0.489795918,0.274725275,0.362028359,0.416202825,0.962963643,0.490929185
212,TMP_950mb,0.373134328,0.010643221,0.479166667,0.277777778,0.362491108,0.420228354,0.964495737,0.501567278
213,TMP_950mb,0.388059701,0.009717723,0.446808511,0.295454545,0.378341978,0.442311885,0.969522663,0.534392773
214,TMP_950mb,0.373134328,0.010180472,0.468085106,0.280898876,0.362953856,0.424321946,0.966028787,0.512657672
215,TMP_950mb,0.373134328,0.010180472,0.468085106,0.280898876,0.362953856,0.424321946,0.966028787,0.512657672
216,TMP_925mb,0.373134328,0.010643221,0.479166667,0.277777778,0.362491108,0.420228354,0.964495737,0.501567278
217,TMP_925mb,0.373134328,0.009717723,0.456521739,0.284090909,0.363416605,0.428485342,0.967562797,0.524229865
