,Unnamed: 0,Date,VIS,CAT,CAT1600,CAT3200,CAT6400
675,675,20130807,7.0,1,1,1,1
676,676,20130808,7.0,1,1,1,1
677,677,20130808,7.0,1,1,1,1
678,678,20130808,7.0,1,1,1,1
679,679,20130808,10.0,1,1,1,1
680,680,20130809,7.0,1,1,1,1
681,681,20130809,10.0,1,1,1,1
682,682,20130809,10.0,1,1,1,1
683,683,20130809,10.0,1,1,1,1
684,684,20130811,10.0,1,1,1,1
685,685,20130811,10.0,1,1,1,1
686,686,20130811,10.0,1,1,1,1
687,687,20130811,10.0,1,1,1,1
688,688,20130813,10.0,1,1,1,1
689,689,20130813,10.0,1,1,1,1
